Protein	Description	Median expression level	IQR (Log2 FC)	Intra-ind  CV	Inter-ind CV	FDA drug target
KLK12	kallikrein related peptidase 12	5.279	0.325	0.063	0.182	no
GH2	growth hormone 2	5.340	0.322	0.056	0.310	no
CRX	cone-rod homeobox	4.485	0.319	0.086	0.282	no
SSC4D	scavenger receptor cysteine rich family member with 4 domains	5.888	0.284	0.056	0.221	no
CGA	glycoprotein hormones, alpha polypeptide	8.021	0.284	0.041	0.160	no
JUN	Jun proto-oncogene, AP-1 transcription factor subunit	2.696	0.281	0.137	0.272	yes
MEP1B	meprin A subunit beta	7.207	0.251	0.044	0.174	no
PROK1	prokineticin 1	5.977	0.226	0.037	0.127	no
GH1	growth hormone 1	14.263	0.224	0.072	0.139	no
HAO1	hydroxyacid oxidase 1	7.424	0.219	0.083	0.151	no
LHB	luteinizing hormone beta polypeptide	5.710	0.216	0.044	0.168	no
NF2	neurofibromin 2	4.918	0.215	0.126	0.157	no
SULT2A1	sulfotransferase family 2A member 1	3.491	0.200	0.122	0.141	no
VASH1	vasohibin 1	5.723	0.197	0.126	0.153	no
KPNA1	karyopherin subunit alpha 1	3.616	0.196	0.132	0.130	no
NPPB	natriuretic peptide B	4.556	0.194	0.064	0.149	no
CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5	4.662	0.193	0.058	0.162	no
CD177	CD177 molecule	7.939	0.193	0.030	0.176	no
EPCAM	epithelial cell adhesion molecule	9.006	0.185	0.045	0.123	yes
SERPINA12	serpin family A member 12	6.805	0.185	0.052	0.158	no
ANXA11	annexin A11	6.329	0.184	0.107	0.160	no
AGR2	anterior gradient 2, protein disulphide isomerase family member	5.103	0.181	0.073	0.142	no
FLI1	Fli-1 proto-oncogene, ETS transcription factor	8.155	0.178	0.099	0.127	no
GHRL	ghrelin and obestatin prepropeptide	6.015	0.177	0.044	0.130	no
FBP1	fructose-bisphosphatase 1	7.196	0.175	0.103	0.118	no
RGS8	regulator of G protein signaling 8	2.925	0.174	0.053	0.177	no
PTN	pleiotrophin	5.719	0.173	0.044	0.125	no
RASA1	RAS p21 protein activator 1	2.761	0.173	0.079	0.283	no
TNNI3	troponin I3, cardiac type	4.281	0.170	0.092	0.173	no
IGFBP1	insulin like growth factor binding protein 1	8.596	0.169	0.052	0.118	no
NA	NA	7.543	0.168	0.061	0.122	no
CA5A	carbonic anhydrase 5A	6.449	0.166	0.056	0.118	no
SCGB3A2	secretoglobin family 3A member 2	5.200	0.163	0.053	0.147	no
WASF3	WAS protein family member 3	8.264	0.163	0.100	0.124	no
PVALB	parvalbumin	12.337	0.163	0.051	0.135	no
ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7	7.479	0.161	0.040	0.107	no
GSAP	gamma-secretase activating protein	5.368	0.161	0.084	0.160	no
LEP	leptin	9.883	0.160	0.033	0.113	no
HDGF	heparin binding growth factor	5.513	0.160	0.081	0.120	no
