OlinkID	Assay	ensg_id	gene_name	chr_name	begin	end
OID01272	PRCP	ENSG00000137509	PRCP	11	82823502	82970584
OID01223	CA1	ENSG00000133742	CA1	8	85327608	85379014
OID01230	ICAM1	ENSG00000090339	ICAM1	19	10270835	10286615
OID01216	CHL1	ENSG00000134121	CHL1	3	196596	409417
OID01291	TGFBI	ENSG00000120708	TGFBI	5	136028895	136063818
OID01254	ENG	ENSG00000106991	ENG	9	127815012	127854756
OID01275	PLTP	ENSG00000100979	PLTP	20	45898621	45912155
OID01232	SERPINA7	ENSG00000123561	SERPINA7	X	106032442	106038738
OID01255	IGFBP3	ENSG00000146674	IGFBP3	7	45912245	45921874
OID01258	CR2	ENSG00000117322	CR2	1	207454230	207489895
OID01229	SERPINA5	ENSG00000188488	SERPINA5	14	94561442	94593120
OID01219	FCGR3B	ENSG00000162747	FCGR3B	1	161623196	161631963
OID01264	IGFBP6	ENSG00000167779	IGFBP6	12	53097436	53102345
OID01245	CDH1	ENSG00000039068	CDH1	16	68737225	68835548
OID01246	CCL5	ENSG00000271503	CCL5	17	35871491	35880793
OID01292	CCL14	ENSG00000276409	CCL14	17	35983291	35987004
OID01262	GNLY	ENSG00000115523	GNLY	2	85685175	85698854
OID01273	NOTCH1	ENSG00000148400	NOTCH1	9	136494444	136545862
OID01256	PAM	ENSG00000145730	PAM	5	102753981	103031105
OID01228	PROC	ENSG00000115718	PROC	2	127418427	127429246
OID01225	CST3	ENSG00000101439	CST3	20	23626706	23638473
OID01247	NCAM1	ENSG00000149294	NCAM1	11	112961247	113278436
OID01289	PCOLCE	ENSG00000106333	PCOLCE	7	100602177	100608175
OID01238	MET	ENSG00000105976	MET	7	116672390	116798386
OID01288	LTBP2	ENSG00000119681	LTBP2	14	74498170	74612378
OID01253	IL7R	ENSG00000168685	IL7R	5	35852695	35879603
OID01257	VCAM1	ENSG00000162692	VCAM1	1	100719742	100739045
OID01249	SELL	ENSG00000188404	SELL	1	169690667	169711698
