"CHR" "SNP" "BP" "BETA" "STAT" "P" "OlinkID" "protein_chr_name" "protein_gene_name" "protein_ensg_id" "Type_variant" "SNP_ensg_id" "SNP_gene_name" "protein_begin" "protein_end" "SNP_type" "tot" "BPcum" "is_annotate"
"1" "rs6672446" 2688006 0.3514 6.319 8.214e-09 "OID00452" "3" "THPO" "ENSG00000090534" "Intronic" "ENSG00000215912" "TTC34" 184371935 184378144 "Trans" 0 2688006 "yes"
"1" "rs3765963" 8974539 0.5081 7.969 3.302e-12 "OID01452" "1" "CA6" "ENSG00000131686" "Downstream" "ENSG00000131686" "CA6" 8945867 8975092 "Cis" 0 8974539 "yes"
"1" "rs150548476" 23450564 1.076 6.292 9.317e-09 "OID00946" "2" "EDAR" "ENSG00000135960" NA NA NA 108894471 108989372 "Trans" 0 23450564 "yes"
"1" "." 32028521 0.2737 6.723 1.275e-09 "OID01131" "4" "S100P" "ENSG00000163993" "Intronic" "ENSG00000121774" "KHDRBS1" 6693069 6697170 "Trans" 0 32028521 "yes"
"1" "rs12126418" 34436171 1.086 7.239 1.117e-10 "OID01043" "7" "EPO" "ENSG00000130427" "Intergenic" NA NA 100720800 100723700 "Trans" 0 34436171 "yes"
"1" "rs72667675" 41473837 0.7356 6.409 5.447e-09 "OID01046" "12" "PRKAB1" "ENSG00000111725" NA NA NA 119667753 119681630 "Trans" 0 41473837 "yes"
"1" "rs111333123" 56595588 0.2264 6.439 5.558e-09 "OID00514" "10" "IL15RA" "ENSG00000134470" "Intronic" "ENSG00000162407" "PLPP3" 5943639 5978187 "Trans" 0 56595588 "yes"
"1" "rs12738508" 66892999 0.8427 7.804 7.357e-12 "OID01323" "1" "DDAH1" "ENSG00000153904" "Intronic" "ENSG00000152763" "WDR78" 85318481 85578363 "Trans" 0 66892999 "yes"
"1" "rs61783077" 77370377 0.4362 6.394 5.839e-09 "OID00973" "16" "NFATC3" "ENSG00000072736" NA NA NA 68084751 68229259 "Trans" 0 77370377 "yes"
"1" "rs76851530" 87688112 -0.6443 -6.387 6.018e-09 "OID00462" "20" "TGM2" "ENSG00000198959" "Intergenic" NA NA 38127387 38166578 "Trans" 0 87688112 "yes"
"1" "." 124024213 0.5604 6.772 1.012e-09 "OID01040" "16" "ADGRG1" "ENSG00000205336" "Intergenic" NA NA 57610652 57665580 "Trans" 0 124024213 "yes"
"1" "." 124847153 0.7612 7.434 5.077e-11 "OID01012" "1" "PADI2" "ENSG00000117115" "Intergenic" NA NA 17066761 17119435 "Trans" 0 124847153 "yes"
"1" "rs2153463" 147652507 -0.506 -9.967 1.751e-16 "OID01129" "1" "ACP6" "ENSG00000162836" "UTR_variant" "ENSG00000162836" "ACP6" 147629652 147670496 "Cis" 0 147652507 "yes"
"1" "." 148649748 0.7835 6.3 8.973e-09 "OID00726" "17" "PPY" "ENSG00000108849" NA NA NA 43940804 43942468 "Trans" 0 148649748 "yes"
"1" "rs11264531" 156718360 0.4965 8.571 1.737e-13 "OID01169" "1" "HDGF" "ENSG00000143321" "Downstream" "ENSG00000143319" "ISG20L2" 156742107 156766925 "Cis" 0 156718360 "yes"
"1" "rs2210913" 157699203 0.3632 11.72 3.215e-20 "OID00984" "1" "FCRL3" "ENSG00000160856" "Intronic" "ENSG00000160856" "FCRL3" 157674321 157700857 "Cis" 0 157699203 "yes"
"1" "rs34687326" 159830120 -0.5398 -9.028 1.826e-14 "OID01391" "1" "SLAMF8" "ENSG00000158714" "Coding_sequence_variant" "ENSG00000158714" "SLAMF8" 159826750 159837249 "Cis" 0 159830120 "yes"
"1" "rs2295615" 160684968 -0.3109 -6.896 5.659e-10 "OID00667" "1" "CD48" "ENSG00000117091" "Coding_sequence_variant" "ENSG00000117091" "CD48" 160678746 160711851 "Cis" 0 160684968 "yes"
"1" "rs11810143" 161510859 -0.8465 -13.3 1.646e-23 "OID01244" "1" "FCGR2A" "ENSG00000143226" "Coding_sequence_variant" "ENSG00000143226" "FCGR2A" 161505430 161524013 "Cis" 0 161510859 "yes"
"1" "rs199563361" 161631728 -0.4017 -6.444 4.639e-09 "OID01219" "1" "FCGR3B" "ENSG00000162747" "Upstream" "ENSG00000162747" "FCGR3B" 161623196 161631963 "Cis" 0 161631728 "yes"
"1" "rs6665610" 161671594 0.5921 8.88 3.776e-14 "OID00442" "1" "FCGR2B" "ENSG00000072694" "Coding_sequence_variant" "ENSG00000072694" "FCGR2B" 161663147 161678654 "Cis" 0 161671594 "yes"
"1" "rs74531985" 162192862 1.106 6.688 1.5e-09 "OID00535" "4" "CXCL10" "ENSG00000169245" "Intronic" "ENSG00000198929" "NOS1AP" 76021117 76023497 "Trans" 0 162192862 "yes"
"1" "rs12755679" 165423824 -0.3266 -6.465 4.21e-09 "OID00460" "19" "OSCAR" "ENSG00000170909" NA NA NA 54094668 54102692 "Trans" 0 165423824 "yes"
"1" "." 180148914 0.5141 8.306 6.384e-13 "OID01066" "15" "CA12" "ENSG00000074410" "Intergenic" NA NA 63321378 63382161 "Trans" 0 180148914 "yes"
"1" "rs6687933" 182285857 0.5547 7.743 9.9e-12 "OID00298" "1" "NBL1" "ENSG00000158747" "Intronic" "ENSG00000228918" "LINC01344" 19640554 19658456 "Trans" 0 182285857 "yes"
"1" "rs4950928" 203186754 -0.6035 -9.404 2.837e-15 "OID00633" "1" "CHI3L1" "ENSG00000133048" "Upstream" "ENSG00000133048" "CHI3L1" 203178931 203186749 "Cis" 0 203186754 "yes"
"1" "rs150192398" 203217822 -1.866 -12.14 4.118e-21 "OID00605" "1" "CHIT1" "ENSG00000133063" "Stop gained/lost" "ENSG00000133063" "CHIT1" 203212827 203273641 "Cis" 0 203217822 "yes"
"1" "rs2071533" 205043070 0.5104 8.653 1.161e-13 "OID01108" "1" "CNTN2" "ENSG00000184144" "Upstream" "ENSG00000184144" "CNTN2" 205042937 205078499 "Cis" 0 205043070 "yes"
"1" "rs565620299" 213010051 -0.349 -6.587 2.479e-09 "OID00647" "19" "KLK6" "ENSG00000167755" "Intronic" "ENSG00000174606" "ANGEL2" 50958631 50969673 "Trans" 0 213010051 "yes"
"10" "rs75834599" 2324251 0.8295 7.332 7.142e-11 "OID00956" "2" "DPP10" "ENSG00000175497" "Intergenic" NA NA 114442299 115845752 "Trans" 213010051 215334302 "yes"
"10" "rs73600415" 15006398 0.8814 6.633 1.94e-09 "OID00490" "4" "CXCL9" "ENSG00000138755" NA NA NA 76001275 76007488 "Trans" 213010051 228016449 "yes"
"10" "rs138620199" 17622304 0.2808 7.373 5.883e-11 "OID01101" "X" "ATP6AP2" "ENSG00000182220" "Upstream" "ENSG00000165996" "HACD1" 40579372 40606848 "Trans" 213010051 230632355 "yes"
"10" "rs147131680" 27944731 0.8991 6.915 5.173e-10 "OID00492" "22" "IL2RB" "ENSG00000100385" "Intronic" "ENSG00000169126" "ARMC4" 37125838 37175054 "Trans" 213010051 240954782 "yes"
"10" "rs10827244" 33350269 0.8418 6.858 6.783e-10 "OID01346" "1" "RGS8" "ENSG00000135824" "Intergenic" NA NA 182641816 182684576 "Trans" 213010051 246360320 "yes"
"10" "rs10993994" 46046326 -0.7637 -13.48 7.076e-24 "OID01469" "10" "MSMB" "ENSG00000263639" "Upstream" "ENSG00000263639" "MSMB" 46033307 46046269 "Cis" 213010051 259056377 "yes"
"10" "." 50230348 -0.711 -8.968 2.447e-14 "OID00361" "10" "ASAH2" "ENSG00000188611" "Intronic" "ENSG00000188611" "ASAH2" 50182778 50248610 "Cis" 213010051 263240399 "yes"
